"sku","name"
"BE4058M-4","Burberry BE4058M 316411 Black/ Grey Gradient"
"BE4058M-5","Burberry BE4058M 316613 Beige/ Brown Gradient"
"BE4058M-6","Burberry BE4058M 321371 Green/Green"
"BE4058M-7","Burberry BE4058M 32438H Cyclamen/ Violet Gradient"
"BE4058M-8","Burberry BE4058M 321511 Black/ Grey Gradient"
"BE4058M-9","Burberry BE4058M 324413 White/ Cream Brown Gradient"
"BE4068-1","Burberry BE4068 3001/T3 Black/Polarized Grey Gradient"
"BE4068-2","Burberry BE4068 3002/T5 Tortoise/ Polarized Brown Gradient"
"BE4068-6","Burberry BE4068 3014/11 Violet-OX Blood/Grey Gradient"
"BE4085-1","Burberry BE4085 3002/13 Havana/Brown Gradient"
"BE4085-3","Burberry BE4085 3014/13 Violet-OXBlood/Brown Gradient"
"BE4086-1","Burberry BE4086 3001/13 Black/Brown Gradient"
"BE4086-4","Burberry BE4086 3138/8H Plum Violet/Violet Gradient"
"BE4086-5","Burberry BE4086 3190/11 Trench/Grey Gradient"
"BE4087-2","Burberry BE4087 3014/11 OX Blood/Grey Gradient"
"BE4090-3","Burberry BE4090 3002/73 Havana/Brown"
"BE4091-1","Burberry BE4091 3001/87 Black/Grey"
"BE4091-2","Burberry BE4091 3002/73 Havana/Brown"
"BE4101-3","Burberry BE4101 3014/73 OX Blood/Violet Brown"
"BE4104-3","Burberry BE4104 3276/8G Orange/Grey Gradient"
"BE4106-3","Burberry BE4106 3007/87 White/Grey"
"BE4107-1","Burberry BE4107 300/18G Black /Grey Gradient"
"BE4107-2","Burberry BE4107 3002/13 Dark Tortoise/ Brown Gradient"
"BE4107-3","Burberry BE4107 3012/13 Sand /Brown Gradient"
"BE4107-4","Burberry BE4107 3281/3D Nude Beige Mirror /Silver Gradient"
"BE4108-1","Burberry BE4108 3286/81 Black /Polarized Grey"
"BE4108-2","Burberry BE4108 3282/13 Brown Gradient Beige/ Brown Gradient"
"BE4108-3","Burberry BE4108 3291/8E Top Blue/ Grey Green Gradient"
"BE4108-4","Burberry BE4108 3292/13 Top Havana /Pink Brown Gradient"
"BE4109-1","Burberry BE4109 3001/8G Black/ Grey Gradient"
"BE4109-2","Burberry BE4109 3284/2L Havana /Brown Gradient"
"BE4109-3","Burberry BE4109 3286/8G Black/ Grey Gradient"
"BE4109-4","Burberry BE4109 3294/13 Transparent Brown/Brown Gradient"
"BE4109-5","Burberry BE4109 3295/13 Sand/Brown Gradient"
"BE4110-1","Burberry BE4110 3287/83 Dark Havana/ Polarized Brown "
"BE4110-2","Burberry BE4110 3001/87 Black/ Grey"
"BE4110-3","Burberry BE4110 3286/87 Black/Grey"
"BE4110-4","Burberry BE4110 3288/73 Olive Green/Brown"
"BE4110-5","Burberry BE4110 3289/87 Avio Grey/Grey"
"BE4112-1","Burberry BE4112 3001/81 Black/Polarized Grey"
"BE4112-2","Burberry BE4112 3002/73 Dark Havana/ Brown"
"BE4112-3","Burberry BE4112 3224/8G Stripped Violet/Grey Gradient"
"BE4112-4","Burberry BE4112 3302/73 Brown/Brown"
"BE4113-1","Burberry BE4113 3002/73 Dark Havana/ Brown"
"BE4113-2","Burberry BE4113 3196/73 Red Havana/ Brown"
"BE4113-3","Burberry BE4113 3278/73 Light Havana/ Brown"
"BE4113-4","Burberry BE4113 3280/73 Green Havana/ Brown"
"BE4114-1","Burberry BE4114 3001/8G Black /Grey Gradient"
"BE4114-2","Burberry BE4114 3303/13 Red/Yellow Gradient/ Brown Gradient"
"BE4114-3","Burberry BE4114 3304/68 Brown/ Violet Gradient /Brown Gradient Violet"
"BE4114-4","Burberry BE4114 3305/11 Brown/Yellow Gradient/ Grey Gradient"
"BE4115-1","Burberry BE4115 3054/T5 Light Havana/ Polarized Brown Gradient"
"BE4115-2","Burberry BE4115 3001/8G Black /Grey Gradient"
"BE4115-3","Burberry BE4115 3012/13 Sand /Brown Gradient"
"BE4115-4","Burberry BE4115 3306/73 Bordeaux /Brown"
"BE4116-1","Burberry BE4116 3001/81 Black /Polarized Grey"
"BE4116-2","Burberry BE4116 3002/73 Dark Havana /Brown"
"BE4116-3","Burberry BE4116 3318/73 Green Horn/ Brown"
"BE4116-4","Burberry BE4116 3320/73 Red /Havana  Brown"
"BE4117-1","Burberry BE4117 3001/T3 Black Polarized/ Grey Gradient"
"BE4117-2","Burberry BE4117 3012/13 Sand/ Brown Gradient"
"BE4117-3","Burberry BE4117 3013/87 Avio Grey /Grey"
"BE4117-4","Burberry BE4117 3265/13 EggPlant /Brown Gradient"
"BE4118-1","Burberry BE4118Q 3001/T3 Black/ Polarized Grey Gradient"
"BE4118-2","Burberry BE4118Q 3012/13 Sand/ Brown Gradient"
"BE4118-3","Burberry BE4118Q 3013/11 Avio Grey/ Grey Gradient"
"BE4118-4","Burberry BE4118Q 3316/13 Havana/ Brown Gradient"
"BE4119-1","Burberry BE4119 3313/73 Havana/ Brown"
"BE4119-2","Burberry BE4119 3314/73 Dark Havana/ Brown"
"BE4119-3","Burberry BE4119 3315/87 Black/Grey"
"BE4120Q-1","Burberry BE4120Q 3316/13 Dark Havana/ Brown Gradient"
"BE4120Q-2","Burberry BE4120Q 3321/13 Green Havana/ Brown Gradient"
"BE4120Q-3","Burberry BE4120Q 3322/13 Red Havana/ Brown Gradient"
"BE4120Q-4","Burberry BE4120Q 3323/73 Light Havana/ Brown"
"BE4121-1","Burberry BE4121Q 3001/11 Black /Grey Gradient"
"BE4121-2","Burberry BE4121Q 3316/13 Dark Havana/Brown Gradient"
"BE4121-3","Burberry BE4121Q 3321/13 Green Havana/ Brown Gradient"
"BE4121-4","Burberry BE4121Q 3322/13 Red Havana/ Brown Gradient"
"BE4121-5","Burberry BE4121Q 3323/73 Light Havana/ Brown"
"BE4131-1","Burberry BE4131 3001/87 Black/ Grey"
"BE4131-2","Burberry BE4131 3010/73 Olive Green/ Brown"
"BE4131-3","Burberry BE4131 3349/73 Havana/ Brown"
"BE4131-4","Burberry BE4131 3350/87 Top Blue/Blue Grey"
"BE4132-1","Burberry BE4132 3001/87 Black/ Grey"
"BE4132-2","Burberry BE4132 3010/73 Olive Green/ Brown"
"BE4132-3","Burberry BE4132 3349/73 Havana /Brown"
"BE4132-4","Burberry BE4132 3351/87 Bordeaux /Brown"
"BE4132-5","Burberry BE4132 3365/8G Turquoise/ Grey Gradient"
"BE4132-6","Burberry BE4132 3366/13 Orange/Brown Gradient"
"BE9856-1","Emporio Armani EA9856/S CP4E2 Red Rubber/Pink Violet-Gold"
"Blackti134S-4","Dior BLACKTIE134S X2VBN Blue/Dark Grey"
"Blacktie109-5","Dior BLACKTIE109S 086SP Dark Havana/Bronze Polarized"
"Blacktie109-6","Dior BLACKTIE109S 8073H Black/Grey Polarized"
"Blacktie132S-1","Dior BLACKTIE132S 0AR70 Black Havana Red/Brown"
"Blacktie132S-2","Dior BLACKTIE132S 2GJBN Dark Ruthenium Black/Dark Grey"
"Blacktie132S-3","Dior BLACKTIE132S 2GTHD Palladium Black/Grey Shaded"
"Blacktie132S-4","Dior BLACKTIE132S 2H070 Dark Ruthenium Havana/Brown"
"Blacktie133S-1","Dior BLACKTIE133S 086HA Dark Havana/Brown SF"
"Blacktie133S-2","Dior BLACKTIE133S 807HD Black/Grey Shaded"
"Blacktie133S-3","Dior BLACKTIE133S LHFNR Burgundy/Brown Grey"
"Blacktie133S-4","Dior BLACKTIE133S X2VJJ Blue/Grey SF"
"Blacktie134S-1","Dior BLACKTIE134S 08670 Dark Havana/Brown"
"Blacktie134S-2","Dior BLACKTIE134S 807BN Black/Dark Grey"
"Blacktie134S-3","Dior BLACKTIE134S LHFNR Burgundy/Brown Grey"
"Blacktie135S-1","Dior BLACKTIE135S 271EJ Black Havana/Brown"
"Blacktie135S-2","Dior BLACKTIE135S 9P4BN Havana Black/Dark Grey"
"Blacktie135S-3","Dior BLACKTIE135S M4JBN Blue Black/Dark Grey"
"Blacktie135S-4","Dior BLACKTIE135S YZQHA Havana Red Black/Dark Grey"
"Blacktie136S-1","Dior BLACKTIE136S 271NR Black Havana/Brown"
"Blacktie136S-2","Dior BLACKTIE136S 9P4BN Havana Black/Dark Grey"
"Blacktie136S-3","Dior BLACKTIE136S M4JBN Blue Black/Dark Grey"
"Blacktie136S-4","Dior BLACKTIE136S YZQ70 Havana Red Black/Brown"
"Blacktie140-1","Dior BLACKTIE140 086 Dark Havana"
"Blacktie140-2","Dior BLACKTIE140 807 Black"
"Blacktie140-3","Dior BLACKTIE140 E6F Dark Havana Red"
"Blacktie140-4","Dior BLACKTIE140 F8Z Blue Black"
